nproc,Rss:,Pss:,Pss_Anon:,Pss_File:,Pss_Shmem:,Shared_Clean:,Shared_Dirty:,Private_Clean:,Private_Dirty:,Referenced:,Anonymous:,LazyFree:,AnonHugePages:,ShmemPmdMapped:,FilePmdMapped:,Shared_Hugetlb:,Private_Hugetlb:,Swap:,SwapPss:,Locked:,
1,300504,298171,260288,37883,0,2360,0,42168,255976,262544,260288,4312,196608,0,0,0,0,0,0,0,
2,375312,372895,335232,37663,0,2444,0,41200,331668,309388,335232,3564,227328,0,0,0,0,0,0,0,
4,589372,587008,549204,37804,0,2400,0,48428,538544,450936,549204,10660,335872,0,0,0,0,0,0,0,
8,1152264,1149935,1111928,38007,0,2356,0,57204,1092704,829200,1111928,19200,636928,0,0,0,0,0,0,0,
16,2731420,2728987,2690704,38283,0,2460,0,78408,2650552,1907596,2690704,40148,1499136,0,0,0,0,0,0,0,
32,6581476,6579112,6541480,37632,0,2392,0,171336,6407748,3972880,6541480,133732,2979840,0,0,0,0,0,0,0,
64,16954504,16952171,16914300,37871,0,2360,0,620996,16331148,8652016,16914300,583116,5922816,0,0,0,0,0,0,0,
128,48693408,48690951,48652772,38179,0,2500,0,2547548,46143360,19839088,48652772,2509356,12718080,0,0,0,0,0,0,0,
